algorithm,alpha_value,depth,subgroups_start,candidates_generated,subgroups_after_pruning,width,best_quality,avg_coverage,cumulative_candidates,depth_auc,depth_time,final_auc,final_width,dataset
Above Diagonal Threshold (10.0%),above_diagonal,3,2522,2522,6,6,0.7596825396825396,168.66666666666666,10631,0.9310052910052912,3.56444787979126,0.9534744268077602,5,ionosphere
Above Diagonal Threshold (10.0%),above_diagonal,4,1241,1241,5,5,0.7914285714285714,173.6,11872,0.9534744268077602,2.0774991512298584,0.9534744268077602,5,ionosphere
Pure ROC,pure_roc,0,1,0,1,1,0.0,5644.0,0,0.5,,0.4711430443737128,12,mushroom
Pure ROC,pure_roc,1,1,175,19,19,0.7346938775510204,2644.2105263157896,175,0.8357113070415823,1.1312460899353027,0.4711430443737128,12,mushroom
Pure ROC,pure_roc,2,19,2777,15,15,0.8599172780037787,2447.2,2952,0.9374904256948818,17.558575868606567,0.4711430443737128,12,mushroom
Pure ROC,pure_roc,3,15,2062,14,14,0.9149631495634116,2433.285714285714,5014,0.9706005004170144,13.93555235862732,0.4711430443737128,12,mushroom
Pure ROC,pure_roc,4,14,1835,12,12,0.92872461745332,2433.5,6849,0.9777642082687956,11.009886026382446,0.4711430443737128,12,mushroom
Hull Removal,hull_removal,1,175,175,81,81,0.7346938775510204,2907.382716049383,175,0.8357113070415823,0.0050806999206542,0.9867959694303076,46,mushroom
Hull Removal,hull_removal,2,10000,10000,170,170,0.8599172780037787,1827.9529411764704,10175,0.973753638235945,59.18146181106568,0.9867959694303076,46,mushroom
Hull Removal,hull_removal,3,10000,10000,22,22,0.9149631495634116,3408.0,20175,0.9812088304879916,66.50480532646179,0.9867959694303076,46,mushroom
Hull Removal,hull_removal,4,3111,3111,46,46,0.92872461745332,3484.521739130435,23286,0.9867959694303076,17.09703755378723,0.9867959694303076,46,mushroom
Closest to Hull (n=10),closest_to_hull,1,175,175,29,29,0.7346938775510204,3291.0344827586205,175,0.8357113070415823,0.0097205638885498,0.9711451719970724,81,mushroom
Closest to Hull (n=10),closest_to_hull,2,4341,4341,144,144,0.8599172780037787,1803.555555555556,4516,0.973753638235945,21.113480806350708,0.9711451719970724,81,mushroom
Closest to Hull (n=10),closest_to_hull,3,10000,10000,14,14,0.9149631495634116,2060.285714285714,14516,0.9724770642201834,57.500579833984375,0.9711451719970724,81,mushroom
Closest to Hull (n=10),closest_to_hull,4,1810,1810,81,81,0.92872461745332,2129.4814814814813,16326,0.9772088985719392,12.696441650390623,0.9711451719970724,81,mushroom
Furthest from Diagonal (n=10),furthest_diagonal,1,175,175,29,29,0.7346938775510204,2986.0689655172414,175,0.8357113070415823,0.0104031562805175,0.9711451719970724,122,mushroom
Furthest from Diagonal (n=10),furthest_diagonal,2,4318,4318,146,146,0.8599172780037787,1840.7123287671236,4493,0.9686260659393032,29.723551750183105,0.9711451719970724,122,mushroom
Furthest from Diagonal (n=10),furthest_diagonal,3,10000,10000,50,50,0.9149631495634116,2271.2,14493,0.9737536382359449,68.49792051315308,0.9711451719970724,122,mushroom
Furthest from Diagonal (n=10),furthest_diagonal,4,6532,6532,122,122,0.92872461745332,2136.2622950819677,21025,0.9772088985719392,46.72732329368591,0.9711451719970724,122,mushroom
Below Hull Threshold (1.0%),below_hull,1,175,175,26,26,0.7346938775510204,2834.0,175,0.8357113070415823,0.0065858364105224,0.9830683733042842,4,mushroom
Below Hull Threshold (1.0%),below_hull,2,3773,3773,7,7,0.8599172780037787,2874.285714285714,3948,0.9726472740889516,22.46427297592163,0.9830683733042842,4,mushroom
Below Hull Threshold (1.0%),below_hull,3,983,983,26,26,0.9149631495634116,2644.6153846153848,4931,0.982732208813467,4.878418684005737,0.9830683733042842,4,mushroom
Below Hull Threshold (1.0%),below_hull,4,3453,3453,4,4,0.92872461745332,2933.0,8384,0.9830683733042842,16.673303842544556,0.9830683733042842,4,mushroom
Above Diagonal Threshold (10.0%),above_diagonal,1,175,175,26,26,0.7346938775510204,2834.0,175,0.8357113070415823,0.0028300285339355,0.981400316590356,3,mushroom
Above Diagonal Threshold (10.0%),above_diagonal,2,3773,3773,6,6,0.8599172780037787,2883.333333333333,3948,0.973753638235945,17.25655460357666,0.981400316590356,3,mushroom
Above Diagonal Threshold (10.0%),above_diagonal,3,842,842,5,5,0.9149631495634116,2851.2,4790,0.9804173545982195,3.831576108932495,0.981400316590356,3,mushroom
Above Diagonal Threshold (10.0%),above_diagonal,4,668,668,3,3,0.92872461745332,3146.6666666666665,5458,0.981400316590356,3.1962320804595947,0.981400316590356,3,mushroom
Pure ROC,pure_roc,0,1,0,1,1,0.0,958.0,0,0.5,,0.1985594133723392,10,tic-tac-toe
Pure ROC,pure_roc,1,1,54,6,6,0.3418915277724316,594.6666666666666,54,0.653104430501559,0.1096112728118896,0.1985594133723392,10,tic-tac-toe
Pure ROC,pure_roc,2,6,288,9,9,0.3418915277724316,371.6666666666667,342,0.6930260980022326,0.5510540008544922,0.1985594133723392,10,tic-tac-toe
Pure ROC,pure_roc,3,9,370,11,11,0.3450479233226837,351.45454545454544,712,0.7100687093421609,0.7483689785003662,0.1985594133723392,10,tic-tac-toe
Pure ROC,pure_roc,4,11,429,10,10,0.3450479233226837,352.2,1141,0.7122627891758728,0.8328642845153809,0.1985594133723392,10,tic-tac-toe
Hull Removal,hull_removal,1,54,54,27,27,0.3418915277724316,402.22222222222223,54,0.653104430501559,0.0031237602233886,0.7365949420685939,38,tic-tac-toe
Hull Removal,hull_removal,2,1252,1252,26,26,0.3418915277724316,279.53846153846155,1306,0.7089283652180608,2.18479585647583,0.7365949420685939,38,tic-tac-toe
Hull Removal,hull_removal,3,944,944,22,22,0.3450479233226837,338.0,2250,0.7365949420685939,1.86504864692688,0.7365949420685939,38,tic-tac-toe
Hull Removal,hull_removal,4,888,888,38,38,0.3450479233226837,304.5263157894737,3138,0.7365949420685939,1.412933111190796,0.7365949420685939,38,tic-tac-toe
Closest to Hull (n=10),closest_to_hull,1,54,54,16,16,0.3418915277724316,492.625,54,0.653104430501559,0.0119695663452148,0.6325878594249201,16,tic-tac-toe
