method,dataset,depth,param_type,param_value,num_subgroups,num_candidates,pruned_subgroups,auc,max_quality,time_seconds,total_points,original_hull_points,removed_points,new_hull_points,original_auc,new_auc,auc_reduction,original_area,new_area,area_reduction,original_max_quality,new_max_quality,selected_points,avg_distance_to_hull,min_diagonal_distance,max_diagonal_distance,threshold_used
below_hull_percentage,mushroom,1,distance_percentage,1.0,,,,,,0.0008513927459716797,220.0,,,0.0,0.0,0.0,0.0,0.4769493974219057,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
below_hull_percentage,mushroom,1,distance_percentage,2.0,,,,,,0.0007750988006591797,220.0,,,0.0,0.0,0.0,0.0,0.4769493974219057,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
below_hull_percentage,mushroom,1,distance_percentage,5.0,,,,,,0.002688169479370117,220.0,,,2.0,0.9769493974219057,0.7710397433557172,0.20590965406618844,0.4769493974219057,0.27103974335571723,0.20590965406618844,0.9039836567926456,0.534727373707166,0.0,,,0.0,0.0
below_hull_percentage,mushroom,1,distance_percentage,10.0,,,,,,0.0014922618865966797,220.0,,,2.0,0.9769493974219057,0.7710397433557172,0.20590965406618844,0.4769493974219057,0.27103974335571723,0.20590965406618844,0.9039836567926456,0.534727373707166,0.0,,,0.0,0.0
below_hull_percentage,mushroom,2,distance_percentage,0.5,,,,,,0.024918317794799805,4210.0,,,1.0,0.9948733284914769,0.9511121381715647,0.04376119031991221,0.49487332849147686,0.4511121381715646,0.04376119031991227,0.9138563832886044,0.9022242763431296,0.0,,,0.0,0.0
below_hull_percentage,mushroom,2,distance_percentage,1.0,,,,,,0.02841663360595703,4210.0,,,1.0,0.9948733284914769,0.9511121381715647,0.04376119031991221,0.49487332849147686,0.4511121381715646,0.04376119031991227,0.9138563832886044,0.9022242763431296,0.0,,,0.0,0.0
below_hull_percentage,mushroom,2,distance_percentage,2.0,,,,,,0.030903100967407227,4210.0,,,2.0,0.9948733284914769,0.9811458887589958,0.01372743973248114,0.49487332849147686,0.4811458887589958,0.013727439732481084,0.9138563832886044,0.9039797729505936,0.0,,,0.0,0.0
below_hull_percentage,mushroom,2,distance_percentage,5.0,,,,,,0.0299990177154541,4210.0,,,2.0,0.9948733284914769,0.9811458887589958,0.01372743973248114,0.49487332849147686,0.48114588875899583,0.013727439732481028,0.9138563832886044,0.9039797729505936,0.0,,,0.0,0.0
below_hull_percentage,mushroom,2,distance_percentage,10.0,,,,,,0.0301358699798584,4210.0,,,2.0,0.9948733284914769,0.9811458887589958,0.01372743973248114,0.49487332849147686,0.48114588875899583,0.013727439732481028,0.9138563832886044,0.9039797729505936,0.0,,,0.0,0.0
below_hull_percentage,mushroom,3,distance_percentage,0.5,,,,,,0.052602529525756836,8010.0,,,3.0,0.9949432376484113,0.9663717535935248,0.02857148405488652,0.4949432376484113,0.46637175359352473,0.028571484054886576,0.9158992842079099,0.9148778337482572,0.0,,,0.0,0.0
below_hull_percentage,mushroom,3,distance_percentage,1.0,,,,,,0.05187702178955078,8010.0,,,3.0,0.9949432376484113,0.9663717535935248,0.02857148405488652,0.4949432376484113,0.46637175359352473,0.028571484054886576,0.9158992842079099,0.9148778337482572,0.0,,,0.0,0.0
below_hull_percentage,mushroom,3,distance_percentage,2.0,,,,,,0.05761981010437012,8010.0,,,3.0,0.9949432376484113,0.9815381568062389,0.013405080842172401,0.4949432376484113,0.48153815680623885,0.013405080842172457,0.9158992842079099,0.9148778337482572,0.0,,,0.0,0.0
below_hull_percentage,mushroom,3,distance_percentage,5.0,,,,,,0.056769609451293945,8010.0,,,4.0,0.9949432376484113,0.9917623710078958,0.003180866640515534,0.4949432376484113,0.49176237100789566,0.003180866640515645,0.9158992842079099,0.9148778337482572,0.0,,,0.0,0.0
below_hull_percentage,mushroom,3,distance_percentage,10.0,,,,,,0.05520367622375488,8010.0,,,4.0,0.9949432376484113,0.9917623710078958,0.003180866640515534,0.4949432376484113,0.49176237100789577,0.003180866640515534,0.9158992842079099,0.9148778337482572,0.0,,,0.0,0.0
below_hull_percentage,mushroom,4,distance_percentage,0.5,,,,,,0.07144522666931152,10161.0,,,2.0,0.9952927834330834,0.9664999203812378,0.028792863051845585,0.49529278343308336,0.46649992038123783,0.02879286305184553,0.9169207346675625,0.9158992842079099,0.0,,,0.0,0.0
below_hull_percentage,mushroom,4,distance_percentage,1.0,,,,,,0.05762934684753418,10161.0,,,2.0,0.9952927834330834,0.9664999203812378,0.028792863051845585,0.49529278343308336,0.46649992038123783,0.02879286305184553,0.9169207346675625,0.9158992842079099,0.0,,,0.0,0.0
below_hull_percentage,mushroom,4,distance_percentage,2.0,,,,,,0.062308549880981445,10161.0,,,4.0,0.9952927834330834,0.9879736830862561,0.007319100346827256,0.49529278343308336,0.4879736830862561,0.007319100346827256,0.9169207346675625,0.9158992842079099,0.0,,,0.0,0.0
below_hull_percentage,mushroom,4,distance_percentage,5.0,,,,,,0.05893659591674805,10161.0,,,5.0,0.9952927834330834,0.9927042027054842,0.0025885807275991546,0.49529278343308336,0.49270420270548415,0.00258858072759921,0.9169207346675625,0.9158992842079099,0.0,,,0.0,0.0
